date,population
08-09-2015,4303.529785
09-09-2015,4253.450195
10-09-2015,4296.299805
11-09-2015,4323.22998
14-09-2015,4308.759766
15-09-2015,4360.279785
16-09-2015,4383.669922
17-09-2015,4384.959961
18-09-2015,4323.859863
21-09-2015,4336.129883
22-09-2015,4274.100098
23-09-2015,4273.529785
24-09-2015,4261.100098
25-09-2015,4224.740234
28-09-2015,4103.470215
29-09-2015,4083.370117
30-09-2015,4181.060059
01-10-2015,4192.959961
02-10-2015,4267.450195
05-10-2015,4331.430176
06-10-2015,4306.700195
07-10-2015,4333.459961
08-10-2015,4350.149902
09-10-2015,4370.009766
12-10-2015,4382.560059
13-10-2015,4352.939941
14-10-2015,4346.919922
15-10-2015,4418.220215
16-10-2015,4438.620117
19-10-2015,4462.069824
20-10-2015,4438.180176
21-10-2015,4413.52002
22-10-2015,4503.220215
23-10-2015,4624.089844
26-10-2015,4630.850098
27-10-2015,4639.22998
28-10-2015,4678.580078
29-10-2015,4670.759766
30-10-2015,4648.830078
02-11-2015,4703.919922
03-11-2015,4719.049805
04-11-2015,4717.549805
05-11-2015,4702.899902
06-11-2015,4707.22998
09-11-2015,4655.52002
10-11-2015,4641.72998
11-11-2015,4636.939941
12-11-2015,4588.930176
13-11-2015,4502.140137
16-11-2015,4565.470215
17-11-2015,4565.819824
18-11-2015,4653.439941
19-11-2015,4655.350098
20-11-2015,4686.359863
23-11-2015,4674.790039
24-11-2015,4669.410156
25-11-2015,4672.879883
27-11-2015,4680.470215
30-11-2015,4664.509766
01-12-2015,4716.160156
02-12-2015,4686.220215
03-12-2015,4606.75
04-12-2015,4716.120117
07-12-2015,4693.620117
08-12-2015,4694.77002
09-12-2015,4622.140137
10-12-2015,4643.049805
11-12-2015,4537.560059
14-12-2015,4570.160156
15-12-2015,4597.330078
16-12-2015,4664.560059
17-12-2015,4598.140137
18-12-2015,4514.830078
21-12-2015,4560.549805
22-12-2015,4589.259766
23-12-2015,4624.589844
24-12-2015,4622.77002
28-12-2015,4621.350098
29-12-2015,4691.080078
30-12-2015,4652.009766
31-12-2015,4593.27002
04-01-2016,4497.859863
05-01-2016,4484.180176
06-01-2016,4443.990234
07-01-2016,4305.720215
08-01-2016,4270.779785
11-01-2016,4283.549805
12-01-2016,4333.720215
13-01-2016,4183.120117
14-01-2016,4272.970215
15-01-2016,4141.080078
19-01-2016,4147.069824
20-01-2016,4136.279785
21-01-2016,4142.600098
22-01-2016,4259.77002
25-01-2016,4196.529785
26-01-2016,4233.850098
27-01-2016,4128.859863
28-01-2016,4186.060059
29-01-2016,4279.169922
01-02-2016,4286.560059
02-02-2016,4193.100098
03-02-2016,4171.970215
04-02-2016,4167.77002
05-02-2016,4024.469971
08-02-2016,3960.669922
09-02-2016,3947.800049
10-02-2016,3966.280029
11-02-2016,3962.219971
12-02-2016,4019.189941
16-02-2016,4104.330078
17-02-2016,4199.100098
18-02-2016,4151.490234
19-02-2016,4164.089844
22-02-2016,4231.27002
23-02-2016,4162.540039
24-02-2016,4200.660156
25-02-2016,4241.060059
26-02-2016,4235.620117
29-02-2016,4201.120117
01-03-2016,4333.609863
02-03-2016,4334.390137
03-03-2016,4325.859863
04-03-2016,4329
07-03-2016,4303.330078
08-03-2016,4265.509766
09-03-2016,4293.22998
10-03-2016,4286.970215
11-03-2016,4361.830078
14-03-2016,4367.330078
15-03-2016,4367.080078
16-03-2016,4404.200195
17-03-2016,4400.259766
18-03-2016,4410.830078
21-03-2016,4426.97998
22-03-2016,4437.620117
23-03-2016,4402.560059
24-03-2016,4405.529785
28-03-2016,4398.069824
29-03-2016,4467.720215
30-03-2016,4490.879883
31-03-2016,4483.660156
01-04-2016,4532.080078
04-04-2016,4511.700195
05-04-2016,4470.75
06-04-2016,4543.779785
07-04-2016,4475.290039
08-04-2016,4474.930176
11-04-2016,4458.709961
12-04-2016,4496.040039
13-04-2016,4554.720215
14-04-2016,4554.629883
15-04-2016,4543.160156
18-04-2016,4569.310059
